,source,review,rating,review_title,thumbs_up,date,developerResponse,developerResponse_date,appVersion
223,Google Play,Ang Ganda ng Wild Rift lol pc user ako pro nag lol mobile n ako ngyon. Sana madagdagan pa ang Hero para masaya Good job Riot salamat sa Lol Mobile,5,,0,09/01/2021 23:03,,,
224,Google Play,Haysssttt,3,,0,08/01/2021 13:12,,,
225,Google Play,Lol bang bang,5,,0,07/01/2021 17:09,,,
226,Google Play,More cancer player plz match it perfectly,4,,1,05/01/2021 18:40,,,
227,Google Play,"ok, pero hindi ok😊",2,,0,05/01/2021 15:43,,,
228,Google Play,Nice,5,,0,05/01/2021 12:57,,,
229,Google Play,Ok,5,,0,04/01/2021 1:23,,,1.1.0.3585
230,Google Play,Good,5,,0,02/01/2021 7:47,,,0.5.0.3256
231,Google Play,Masaya,5,,1,01/01/2021 12:29,,,
232,Google Play,Subukan ko palang,5,,0,25/12/2020 12:40,,,
233,Google Play,Super nice pls dowlode now,5,,1,23/12/2020 9:07,,,
234,Google Play,Nice skills of heroes,5,,1,22/12/2020 16:37,,,1.1.0.3585
235,Google Play,This is so fun and intense thank you wildrift,5,,0,22/12/2020 10:08,,,1.0.0.3386
236,Google Play,Ayos mas maayos pa sa mobile legends,5,,1,21/12/2020 3:27,,,
237,Google Play,I wish always that league of legends wild rift will be opened!!!😎😎👍👍😉😉,5,,1,19/12/2020 9:46,,,1.1.0.3585
238,Google Play,This papa is so amazing,4,,0,18/12/2020 13:30,,,
239,Google Play,Dami dapat baguhin,2,,4,18/12/2020 8:36,"Hey gary tuyor, That sounds like something we might be able to help you with! Send us a ticket at https://support-wildrift.riotgames.com/ and we'll try to get you back on track.",18/12/2020 9:49,1.1.0.3585
240,Google Play,Good game,5,,0,17/12/2020 22:52,,,
241,Google Play,give me skin plss ni zed,5,,0,17/12/2020 13:44,,,1.0.0.3386
242,Google Play,Nice game☺️☺️☺️👍,5,,1,16/12/2020 11:13,,,1.1.0.3585
243,Google Play,Kiera shantelle D Ytang,5,,2,16/12/2020 8:43,,,1.1.0.3585
